query,correct
bau chon cum truong cum thi dua nam 2017,bầu chọn cụm trưởng cụm thi đua năm 2017
hoi dong nhan dan,hội đồng nhân dân
ho tro kinh phi boi thuong,hỗ trợ kinh phí bồi thường
giai toa co so dat,giải tỏa cơ sở đất
vien kiem sat nhan dan,viện kiểm sát nhân dân
khen thuong dot xuat,khen thưởng đột xuất
doi quan ly thi truong,đội quản lý thị trường
nghi tet duong lich,nghỉ tết dương lịch
du toan thu chi bql du an 2016,dự toán thu chi bql dự án 2016
xay dung kho du lieu dung chung,xây dựng kho dữ liệu dùng chung
cap giay phep quy hoach,cấp giấy phép quy hoạch
du an xay dung ben xe buyt,dự án xây dựng bến xe buýt
bao cao luong 2016,báo cáo lương 2016
tien thuong tet 2017,tiền thưởng tết 2017
quyet toan du an,quyết toán dự án
dai bieu quoc hoi,đại biểu quốc hội
bo sung kinh phi,bổ sung kinh phí
tang che do chinh sach,tăng chế độ chính sách
cong tac giai quyet khieu nai to cao,công tác giải quyết khiếu nại tố cáo
trat tu an toan giao thong nam 2017,trật tự an toàn giao thông năm 2017
phong chong hiv/aids,phòng chống hiv/aids
hoi nghi can bo cong chuc vien chuc nam 2017,hội nghị cán bộ công chức viên chức năm 2017
thanh ly thao do chung cu cu,thanh lý tháo dỡ chung cư cũ
gop y du thao,góp ý dự thảo
thong tu huong dan,thông tư hướng dẫn
chung tu thu phi le phi,chứng từ thu phí lệ phí
dau tu xay dung ,đầu tư xây dựng 
dieu chinh thoi gian dau tu du an mua 10 ca no cao toc,điều chỉnh thời gian đầu tư dự án mua 10 ca nô cao tốc
bao cao cong tac tu phap quy 4,báo cáo công tác tư pháp quý 4
thue gia tri gia tang,thuế giá trị gia tăng
cho thue nha thuoc so huu nha nuoc,cho thuê nhà thuộc sở hữu nhà nước
du toan kinh phi dau tu,dự toán kinh phí đầu tư
thong tu quan ly ngan sach xa,thông tư quản lý ngân sách xã
so y te,sở y tế
bao cao itpc,báo cáo itpc
phan bo kinh phi,phân bổ kinh phí
chuong trinh suc khoe thanh pho nam 2016,chương trình sức khỏe thành phố năm 2016
tinh hinh thi hanh phap luat nam 2016,tình hình thi hành pháp luật năm 2016
du an dau tu nang cap mo rong duong,dự án đầu tư nâng cấp mở rộng đường
giai phong mat bang,giải phóng mặt bằng
du an dau tu xay dung khu dan cu,dự án đầu tư xây dựng khu dân cư
kinh phi khen thuong,kinh phí khen thưởng
su dung dat theo quy hoach,sử dụng đất theo quy hoạch
cap giay chung nhan quyen su dung dat,cấp giấy chứng nhận quyền sử dụng đất
quyen so huu nha o va tai san,quyền sở hữu nhà ở và tài sản
du thao thong tu,dự thảo thông tư
le phi truoc ba,lệ phí trước bạ
vi pham hanh chinh,vi phạm hành chính
quan ly thanh quyet toan nguon von dau tu,quản lý thanh quyết toán nguồn vốn đầu tư
nguon von dau tu,nguồn vốn đầu tư
nong thon moi,nông thôn mới
bao cao tien do thuc hien,báo cáo tiến độ thực hiện
du an dau tu xay dung,dự án đầu tư xây dựng
bao dam an toan thuc pham,bảo đảm an toàn thực phẩm
xu ly nguoi nghien ma tuy,xử lý người nghiện ma túy
du an nang cap kenh dong cu chi,dự án nâng cấp kênh đông củ chi
thoi han nop to khai nop thue,thời hạn nộp tờ khai nộp thuế
du an xay dung,dự án xây dựng
ket luan thanh tra so 158/kl-ttcp,kết luận thanh tra số 158/kl-ttcp
danh muc co so gay o nhiem moi truong,danh mục cơ sở gây ô nhiễm môi trường
o nhiem moi truong,ô nhiễm môi trường
quan ly giao duc nghe nghiep,quản lý giáo dục nghề nghiệp
xu ly thong tin phan anh,xử lý thông tin phản ánh
tinh hinh anh huong cua dot trieu cuong,tình hình ảnh hưởng của đợt triều cường
cai cach thu tuc hanh chinh,cải cách thủ tục hành chính
thu tuc hanh chinh,thủ tục hành chính
cong nhan quyen su dung dat,công nhận quyền sử dụng đất
co so ton giao,cơ sở tôn giáo
trien khai thi hanh luat,triển khai thi hành luật
luat khi tuong thuy van,luật khí tượng thủy văn
bo tai nguyen va moi truong,bộ tài nguyên và môi trường
trien khai thuc hien quyet dinh,triển khai thực hiện quyết định
giai quyet kien nghi doanh nghiep,giải quyết kiến nghị doanh nghiệp
khu nong nghiep cong nghe cao,khu nông nghiệp công nghệ cao
quan ly nhan dien,quản lý nhận diện
truy xuat nguon goc thit heo,truy xuất nguồn gốc thịt heo
khu cong nghiep,khu công nghiệp
bao ve moi truong,bảo vệ môi trường
luat ho tich,luật hộ tịch
giai quyet khieu nai to cao,giải quyết khiếu nại tố cáo
quan ly cap nuoc sach,quản lý cấp nước sạch
cung cap nuoc sach,cung cấp nước sạch
nhu cau vay von cua doanh nghiep,nhu cầu vay vốn của doanh nghiệp
dau tu du an xay dung,đầu tư dự án xây dựng
an toan giao thong,an toàn giao thông
ve sinh moi truong,vệ sinh môi trường
quy hoach phat trien nguon dien,quy hoạch phát triển nguồn điện
chat thai ran,chất thải rắn
phan cap quan ly he thong thoat nuoc,phân cấp quản lý hệ thống thoát nước
he thong thoat nuoc,hệ thống thoát nước
boi thuong di doi,bồi thường di dời
he thong cap nuoc,hệ thống cấp nước
cam dung do xe,cấm dừng đỗ xe
thu hoi dat,thu hồi đất
chinh sach ho tro phat trien doanh nghiep,chính sách hỗ trợ phát triển doanh nghiệp
sua chua cac cong trinh tru so co quan hanh chinh nha nuoc,sửa chữa các công trình trụ sở cơ quan hành chính nhà nước
cap giay phep kinh doanh,cấp giấy phép kinh doanh
cai tao cay xanh,cải tạo cây xanh
cap nhat chinh ly ho so dia chinh,cập nhật chỉnh lý hồ sơ địa chính
thu tuc xay dung van ban quy pham phap luat,thủ tục xây dựng văn bản quy phạm pháp luật
quy hoach do thi,quy hoạch đô thị
tien do quyet toan cong trinh,tiến độ quyết toán công trình
chuyen don to cao,chuyển đơn tố cáo
xu ly nguoi nghien ma tuy,xử lý người nghiện ma túy
tinh hinh cap nuoc sach,tình hình cấp nước sạch
an toan thuc pham,an toàn thực phẩm
cap giay phep xay dung cong trinh,cấp giấy phép xây dựng công trình
chuong trinh nuoc sach,chương trình nước sạch
ve sinh moi truong nong thon,vệ sinh môi trường nông thôn
ke khai gia cuoc van tai,kê khai giá cước vận tải
cap giay phep quy hoach,cấp giấy phép quy hoạch
trung tam giao duc quoc phong an ninh,trung tâm giáo dục quốc phòng an ninh
xac dinh phuong an gia dat,xác định phương án giá đất
phong chong chay no,phòng chống cháy nổ
cung cap dien,cung cấp điện
dinh muc chi quan ly hanh chinh nam 2017,định mức chi quản lý hành chính năm 2017
kinh phi dau tu xay dung,kinh phí đầu tư xây dựng
cong tac cai cach hanh chinh nam 2016,công tác cải cách hành chính năm 2016
dinh gia tai san,định giá tài sản
chuyen muc dich su dung dat,chuyển mục đích sử dụng đất
bao cao tong ket,báo cáo tổng kết
cong tac van phong,công tác văn phòng
tong von dau tu,tổng vốn đầu tư
cong trinh xay dung,công trình xây dựng
xu ly hanh vi gay o nhiem moi truong,xử lý hành vi gây ô nhiễm môi trường
ho so cap giay chung nhan,hồ sơ cấp giấy chứng nhận
quyen su dung dat,quyền sử dụng đất
sua chua quoc lo 1,sửa chữa quốc lộ 1
nha thau du an,nhà thầu dự án
cam dung xe va do xe,cấm dừng xe và đỗ xe
hoat dong san xuat kinh doanh,hoạt động sản xuất kinh doanh
xu ly quy nha,xử lý quỹ nhà
chung nhan dang ky the chap,chứng nhận đăng ký thế chấp
danh muc du an,danh mục dự án
chuyen muc dich dat lua,chuyển mục đích đất lúa
tham dinh gia tri quyen su dung dat,thẩm định giá trị quyền sử dụng đất
thiet ke cay xanh tai lap,thiết kế cây xanh tái lập
cap chung nhan dieu kien kinh doanh,cấp chứng nhận điều kiện kinh doanh
ke hoach bao ve moi truong,kế hoạch bảo vệ môi trường
cong tac giai quyet khieu nai to cao,công tác giải quyết khiếu nại tố cáo
cong nhan quyen su dung dat,công nhận quyền sử dụng đất
cong tac dan van,công tác dân vận
ke hoach thanh tra,kế hoạch thanh tra
chinh sach cua dang,chính sách của đảng
phat trien kinh te,phát triển kinh tế
nganh cong thuong,ngành công thương
khau tru tien thue dat,khấu trừ tiền thuế đất
chi phi kiem toan,chi phí kiểm toán
du an boi thuong,dự án bồi thường
giai quyet khieu nai,giải quyết khiếu nại
tai dinh cu,tái định cư
do an quy hoach,đồ án quy hoạch
tong cuc canh sat,tổng cục cảnh sát
giai quyet tranh chap,giải quyết tranh chấp
phong chong tham nhung,phòng chống tham nhũng
doanh nghiep tu nhan,doanh nghiệp tư nhân
quy nha tai dinh cu,quỹ nhà tái định cư
xu ly ky luat,xử lý kỷ luật
dang ky the chap,đăng ký thế chấp
xay dung cong trinh ha tang,xây dựng công trình hạ tầng
ban giao khu dat,bàn giao khu đất
hoan doi nha dat,hoán đổi nhà đất
quan ly dat dai,quản lý đất đai
cong trinh trong diem,công trình trọng điểm
du toan goi thau,dự toán gói thầu
khu the duc the thao,khu thể dục thể thao
giay chung nhan dau tu,giấy chứng nhận đầu tư
xay dung nong thon moi,xây dựng nông thôn mới
cai thien moi truong nuoc,cải thiện môi trường nước
vien kiem sat nhan dan,viện kiểm sát nhân dân
de an cai cach,đề án cải cách
can cuoc cong dan,căn cước công dân
dang ky cu tru,đăng ký cư trú
du toan thu chi,dự toán thu chi
ngan sach thanh pho,ngân sách thành phố
chung tu ke toan,chứng từ kế toán
tet nguyen dan,tết nguyên đán
uoc thu ngan sach nha nuoc,ước thu ngân sách nhà nước
tro cap thoi viec,trợ cấp thôi việc
so tu phap,sở tư pháp
dau tu bat dong san,đầu tư bất động sản
goi thau tu van ky thuat,gói thầu tư vấn kỹ thuật
dam bao an ninh trat tu,đảm bảo an ninh trật tự
so ke hoach va dau tu,sở kế hoạch và đầu tư
phi bao dam hang hai,phí bảo đảm hàng hải
quyet toan von dau tu,quyết toán vốn đầu tư
huy dong von,huy động vốn
vay von dau tu,vay vốn đầu tư
bao hiem y te,bảo hiểm y tế
chuyen giao tai san,chuyển giao tài sản
giai quyet to cao,giải quyết tố cáo
du an cai thien moi truong nuoc thanh pho,dự án cải thiện môi trường nước thành phố
cai tao he thong dien,cải tạo hệ thống điện
bien ban chuyen giao chu dau tu,biên bản chuyển giao chủ đầu tư
cap phep thi cong cong trinh,cấp phép thi công công trình
tien cham nop thue tncn,tiền chậm nộp thuế tncn
de an phat trien xuat khau,đề án phát triển xuất khẩu
tai lieu ban do,tài liệu bản đồ
dam bao an toan giao thong,đảm bảo an toàn giao thông
quyet toan du an,quyết toán dự án
tong ve sinh moi truong,tổng vệ sinh môi trường
bo tai chinh,bộ tài chính
chi phi khau tru,chi phí khấu trừ
chat thai ran,chất thải rắn
thu gom van chuyen chat thai ran,thu gom vận chuyển chất thải rắn
quan doi nhan dan viet nam,quân đội nhân dân việt nam
quan ly can bo cong chuc,quản lý cán bộ công chức
xu ly vi pham hanh chinh,xử lý vi phạm hành chính
bao hiem y te,bảo hiểm y tế
boi duong can bo quan ly,bồi dưỡng cán bộ quản lý
du toan nam 2016,dự toán năm 2016
dai bieu quoc hoi,đại biểu quốc hội
dieu chinh giay phep kinh doanh,điều chỉnh giấy phép kinh doanh
cap giay phep xay dung,cấp giấy phép xây dựng
quan ly xu ly vat tu,quản lý xử lý vật tư
xoa doi giam ngheo,xóa đói giảm nghèo
gia han giay phep thi cong,gia hạn giấy phép thi công
quy tien luong,quỹ tiền lương
don gia thue dat,đơn giá thuê đất
dau tu theo hinh thuc xa hoi hoa,đầu tư theo hình thức xã hội hóa
tien tam ung ngan sach,tiền tạm ứng ngân sách
bao cao danh gia tac dong moi truong,báo cáo đánh giá tác động môi trường
xay dung do thi,xây dựng đô thị
quyet toan von dau tu du an,quyết toán vốn đầu tư dự án
vay von co ho tro lai,vay vốn có hỗ trợ lãi
chuyen tien ho tro,chuyển tiền hỗ trợ
tham tra quyet toan du an,thẩm tra quyết toán dự án
ma so thue,mã số thuế
phong chay chua chay,phòng cháy chữa cháy
an toan thuc pham,an toàn thực phẩm
khu cong nghe cao,khu công nghệ cao
ban thuong vu thanh uy,ban thường vụ thành ủy
so khoa hoc va cong nghe,sở khoa học và công nghệ
thuong mai dien tu,thương mại điện tử
ban quan ly dau tu xay dung,ban quản lý đầu tư xây dựng
dau tu xay dung nha o xa hoi,đầu tư xây dựng nhà ở xã hội
tai lieu ban do,tài liệu bản đồ
hoi dong tu van thue,hội đồng tư vấn thuế
du an xay dung tuyen duong sat,dự án xây dựng tuyến đường sắt
dong vat quy hiem,động vật quý hiếm
chuong trinh nang luong mat troi,chương trình năng lượng mặt trời
nha o xa hoi,nhà ở xã hội
xuat nhap khau,xuất nhập khẩu
giao thong van tai,giao thông vận tải
doi tac dau tu,đối tác đầu tư
doanh nghiep von nha nuoc,doanh nghiệp vốn nhà nước
hoi dong nhan dan thanh pho,hội đồng nhân dân thành phố
giai quyet kien nghi,giải quyết kiến nghị
khu cong nghiep,khu công nghiệp
ho tro dao tao,hỗ trợ đào tạo
chuyen doi nghe nghiep,chuyển đổi nghề nghiệp
tim kiem viec lam,tìm kiếm việc làm
do an quy hoach phan khu,đồ án quy hoạch phân khu
thu gom chat thai nguy hai,thu gom chất thải nguy hại
xoa dang ky the chap,xóa đăng ký thế chấp
tai co cau nganh khoa hoc,tái cơ cấu ngành khoa học
cap nhat chinh ly ho so dia chinh,cập nhật chỉnh lý hồ sơ địa chính
thanh nien xung phong,thanh niên xung phong
quan doi nhan dan viet nam,quân đội nhân dân việt nam
nop to khai thue,nộp tờ khai thuế
thue thu nhap ca nhan,thuế thu nhập cá nhân
de an truy xuat nguon goc thit heo,đề án truy xuất nguồn gốc thịt heo
quy hoach su dung dat,quy hoạch sử dụng đất
bo sung hop dong lao dong,bổ sung hợp đồng lao động
ve sinh moi truong thanh pho,vệ sinh môi trường thành phố
ho tro nha o,hỗ trợ nhà ở
cap phep uu tien cho xe tai van chuyen hang hoa,cấp phép ưu tiên cho xe tải vận chuyển hàng hóa
du an cai tao,dự án cải tạo
bien doi khi hau,biến đổi khí hạu
von vien tro khong hoan lai,vốn viện trợ không hoàn lại
giai ngan ke hoach dau tu cong,giải ngân kế hoạch đầu tư công
de xuat du an dau tu cai tao,đề xuất dự án đầu tư cải tạo
de xuat dieu hoa von,đề xuất điều hòa vốn
du thao ket luan thanh tra,dự thảo kết luận thanh tra
phe duyet don gia dat,phê duyệt đơn giá đất
ket luan thanh tra tinh hinh quan ly su dung dat,kết luận thanh tra tình hình quản lý sử dụng đất
khu cong nghe cao,khu công nghệ cao
boi thuong giai phong mat bang,bồi thường giải phóng mặt bằng
quy phat trien nha o,quỹ phát triển nhà ở
ban quan ly khu cong nghe cao,ban quản lý khu công nghệ cao
du toan cong tac kiem dinh,dự toán công tác kiểm định
gop y du thao bao cao so ket,góp ý dự thảo báo cáo sơ kết
"de an tong the phat trien the luc, tam voc nguoi viet nam","đề án tổng thể phát triển thể lực, tầm vóc người việt nam"
dieu chinh dien tich dat thu hoi,điều chỉnh diện tích đất thu hồi
cham dut hoat dong kinh doanh,chấm dứt hoạt động kinh doanh
vay von oda,vay vốn oda
he thong chieu sang cong cong,hệ thống chiếu sáng công cộng
su dung nguon von vay nuoc ngoai,sử dụng nguồn vốn vay nước ngoài
xu ly cac co so gay o nhiem moi truong,xử lý các cơ sở gây ô nhiễm môi trường
dam bao an ninh trat tu,đảm bảo an ninh trật tự
dieu tra danh gia dat dai,điều tra đánh giá đất đai
nha thau du an,nhà thầu dự án
xay dung trung tam van hoa quan 9,xây dựng trung tâm văn hóa quận 9
xu ly cong trinh xay dung khong phep,xử lý công trình xây dựng không phép
san xuat kinh doanh dich vu,sản xuất kinh doanh dịch vụ
trien khai chung thu so,triển khai chứng thư số
dieu chinh quy hoach su dung dat,điều chỉnh quy hoạch sử dụng đất
chuyen muc dich su dung dat,chuyển mục đích sử dụng đất
van ban dien tu,văn bản điện tử
nut giao thong vanh dai 3,nút giao thông vành đai 3
thiet ke co so du an,thiết kế cơ sở dự án
xay dung duong giao thong d15,xây dựng đường giao thông d15
xay dung he thong thoat nuoc,xây dựng hệ thống thoát nước
cong tac phong chong tham nhung,công tác phòng chống tham nhũng
khu trang trai nuoi trong thuy san,khu trang trại nuôi trồng thủy sản
du an cao oc nha o,dự án cao ốc nhà ở
bao ton da dang sinh hoc,bảo tồn đa dạng sinh học
giai quyet don kien nghi cua cac doanh nghiep,giải quyết đơn kiến nghị của các doanh nghiệp
san trung tam thuong mai,sàn trung tâm thương mại
tiep nhan du lieu giam sat hanh trinh,tiếp nhận dữ liệu giám sát hành trình
chong te nan ma tuy mai dam,chống tệ nạn ma tuý mại dâm
cap phep thi cong,cấp phép thi công
thiet ke do thi rieng,thiết kế đô thị riêng
du an dau tu xay dung benh vien da khoa,dự án đầu tư xây dựng bệnh viện đa khoa
phuong an to chuc giao thong phu hop,phương án tổ chức giao thông phù hợp
che do nghi huu,chế độ nghỉ hưu
an toan giao thong duong bo,an toàn giao thông đường bộ
giai quyet don,giải quyết đơn
cong nhan quyen su dung dat,công nhận quyền sử dụng đất
co so ton giao,cơ sở tôn giáo
xu ly vi pham ve quan ly su dung dat dai,xử lý vi phạm về quản lý sử dụng đất đai
giai quyet khieu nai,giải quyết khiếu nại
bao ve tre em,bảo vệ trẻ em
du an dau tu xay dung tram trung chuyen xe buyt,dự án đầu tư xây dựng trạm trung chuyển xe buýt
dau tu nang cap cac tram y te,đầu tư nâng cấp các trạm y tế
xu ly chat thai ran,xử lý chất thải rắn
xu ly don phan anh,xử lý đơn phản ánh
van phong ban quan ly,văn phòng ban quản lý
von ngan sach nha nuoc,vốn ngân sách nhà nước
cham quyet toan von dau tu,chậm quyết toán vốn đầu tư
bien doi khi hau,biến đổi khí hậu
giai quyet ngap do trieu,giải quyết ngập do triều
ho so dia chinh,hồ sơ địa chính
van ban quy pham phap luat,văn bản quy phạm pháp luật
don vi kiem toan doc lap,đơn vị kiểm toán độc lập
quyet toan kinh phi xay dung tru so lam viec,quyết toán kinh phí xây dựng trụ sở làm việc
hoi nghi tap huan luat dau tu va luat doanh nghiep,hội nghị tập huấn luật đầu tư và luật doanh nghiệp
du toan goi thau tu van,dự toán gói thầu tư vấn
ho so moi thau,hồ sơ mời thầu
ho so du thau,hồ sơ dự thầu
phe duyet du toan goi thau,phê duyệt dự toán gói thầu
von dieu le,vốn điều lệ
cong tac den bu giai phong mat bang,công tác đền bù giải phóng mặt bằng
do thi thong minh,đô thị thông minh
tuyen duong sat do thi,tuyến đường sắt đô thị
xay dung tram thong tin va ho tro du khach,xây dựng trạm thông tin và hỗ trợ du khách
cap giay phep co so ban le,cấp giấy phép cơ sở bán lẻ
cai cach hanh chinh,cải cách hành chính
di doi cong trinh ha tang ky thuat,di dời công trình hạ tầng kỹ thuật
ke hoach dau thau cong trinh,kế hoạch đấu thầu công trình
danh muc cac cong trinh su dung von uy quyen nam 2017,danh mục các công trình sử dụng vốn ủy quyền năm 2017
de xuat xay dung nha o cong vu,đề xuất xây dựng nhà ở công vụ
tong ket cong tac nam 2016,tổng kết công tác năm 2016
nganh tai nguyen va moi truong,ngành tài nguyên và môi trường
tru so cong an phuong,trụ sở công an phường
quan ly su dung vu khi vat lieu no,quản lý sử dụng vũ khí vật liệu nổ
dieu chinh muc dich su dung dat,điều chỉnh mục đích sử dụng đất
ho so xin thue dat,hồ sơ xin thuê đất
quan ly bao ve phong chay va chua chay rung,quản lý bảo vệ phòng cháy và chữa cháy rừng
xu phat vi pham hanh chinh,xử phạt vi phạm hành chính
ho khau thuong tru,hộ khẩu thường trú
xu ly vi pham ve bao ve moi truong,xử lý vi phạm về bảo vệ môi trường
de xuat khen thuong,đề xuất khen thưởng
cong tac chong buon lau gian lan thuong mai va hang gia,công tác chống buôn lậu gian lận thương mại và hàng giả
benh vien nhi,bệnh viện nhi
huy ket qua dau thau sai nguyen tac,hủy kết quả đấu thầu sai nguyên tắc
tro cap cho nguoi co cong voi cach mang,trợ cấp cho người có công với cách mạng
cong tac nguoi cao tuoi,công tác người cao tuổi
chuyen dich lao dong tu do,chuyển dịch lao động tự do
de an tao nguon nhan luc co chat luong cao,đề án tạo nguồn nhân lực có chất lượng cao
xuc tien dau tu,xúc tiến đầu tư
nguoi viet nam dinh cu o nuoc ngoai,người việt nam định cư ở nước ngoài
khu dan cu,khu dân cư
ho tro nguon von dau tu,hỗ trợ nguồn vốn đầu tư
ho tro hoc bong cho sinh vien,hỗ trợ học bổng cho sinh viên
quoc lo 1,quốc lộ 1
phong chong thien tai lut bao,phòng chống thiên tai lụt bão
tim kiem cuu nan,tìm kiếm cứu nạn
chuyen nhuong can ho,chuyển nhượng căn hộ
gia han cap phep thi cong,gia hạn cấp phép thi công
cong trinh sua chua cau bo hanh,công trình sửa chữa cầu bộ hành
chuong trinh thi diem phan loai chat thai ran,chương trình thí điểm phân loại chất thải rắn
cac tuyen duong sat do thi,các tuyến đường sắt đô thị
quy hoach kien truc,quy hoạch kiến trúc
su co ha tang ky thuat giao thong,sự cố hạ tầng kỹ thuật giao thông
tai san nha nuoc,tài sản nhà nước
hoi nguoi mu,hội người mù
phong tranh ung pho voi ap thap nhiet doi,phòng tránh ứng phó với áp thấp nhiệt đới
phuong tien giao thong,phương tiện giao thông
ung pho voi bien doi khi hau,ứng phó với biến đổi khí hậu
nguoi hoat dong khang chien bi nhiem chat doc hoa hoc,người hoạt động kháng chiến bị nhiễm chất độc hóa học
ho tro chi tro cap,hỗ trợ chi trợ cấp
hoi lien hiep phu nu thanh pho,hội liên hiệp phụ nữ thành phố
khu lien hop xu ly chat thai,khu liên hợp xử lý chất thải
chuan bi ho so to tung,chuẩn bị hồ sơ tố tụng
phan bo von dau tu,phân bổ vốn đầu tư
cong trinh cap nuoc sinh hoat,công trình cấp nước sinh hoạt
nong nghiep cong nghe cao,nông nghiệp công nghệ cao
luong giao thong thuy,luồng giao thông thủy
truy tang danh hieu vinh du nha nuoc,truy tặng danh hiệu vinh dự nhà nước
ho so su dung nguon kinh phi du phong,hồ sơ sử dụng nguồn kinh phí dự phòng
thuc hien goi thau kiem toan,thực hiện gói thầu kiểm toán
quy hoach chi tiet xay dung do thi,quy hoạch chi tiết xây dựng đô thị
cum cong nghiep,cụm công nghiệp
qua canh hai quan,quá cảnh hải quan
quan ly can bo cong chuc vien chuc,quản lý cán bộ công chức viên chức
so van hoa va the thao,sở văn hóa và thể thao
sua chua tai san,sửa chữa tài sản
ban nha o cu thuoc so huu nha nuoc,bán nhà ở cũ thuộc sở hữu nhà nước
quy dinh thu tuc hanh chinh,quy định thủ tục hành chính
to chuc giao thong phuc vu thi cong,tổ chức giao thông phục vụ thi công
giai phap chong ngap,giải pháp chống ngập
cong tac thu hoi khu dat,công tác thu hồi khu đất
kinh doanh van tai hanh khach,kinh doanh vận tải hành khách
du toan boi thuong,dự toán bồi thường
giay xac nhan hoan thanh nghia vu thue,giấy xác nhận hoàn thành nghĩa vụ thuế
tham dinh nguon von,thẩm định nguồn vốn
