query,correct
thông tưsố 178/2016/tt-btc của bộ tài chính,thông tư số 178/2016/tt-btc của bộ tài chính
bộ quy tắc ứng xử dadnhcho khách quốc tế,bộ quy tắc ứng xử dành cho khách quốc tế
hội nghị “xúsc tiến đầuu tư vào tỉnh cà mau”,hội nghị “xúc tiến đầu tư vào tỉnh cà mau”
góp ý dự thảo thông tư cỉa bộ tài chính,góp ý dự thảo thông tư của bộ tài chính
phát động hị trường,phát động thị trường
hỗ trợ kjnh phí,hỗ trợ kinh phí
hạch toan tài sản,hạch toán tài sản
dự án hợp tác kỹ thuâit,dự án hợp tác kỹ thuật
cán bôi quân đội,cán bộ quân đội
phát triển thị tường,phát triển thị trường
khoa học và công ngheen,khoa học và công nghệ
nguoồn kinh phí,nguồn kinh phí
cẩi cách tiền lương,cải cách tiền lương
tu bồ tôn tạo di tích,tu bổ tôn tạo di tích
rác tại cád tuyến kênh,rác tại các tuyến kênh
tuần lee thu gom chất thải,tuần lễ thu gom chất thải
cải cach hành chính,cải cách hành chính
phwàn mềm quản lý,phần mềm quản lý
cơ sở duã liệu,cơ sở dữ liệu
khí tượng thủy vă,khí tượng thủy văn
kế hoạch thu nhwạn ảnh viễn thám năm 2017,kế hoạch thu nhận ảnh viễn thám năm 2017
thu gom chất tải rắn,thu gom chất thải rắn
liên kết đào yạo,liên kết đào tạo
bồi thường hoán đổi đast,bồi thường hoán đổi đất
tài khoản nộp nggân sách,tài khoản nộp ngân sách
bồi hường các khu đất,bồi thường các khu đất
công trình hạ tàng,công trình hạ tầng
chỉ thhị 10/2013/ct-ubndtp,chỉ thị 10/2013/ct-ubndtp
hồ sơ đăng kgs,hồ sơ đăng ký
bộ tài chinh,bộ tài chính
hoán đổi nhà đất,hoán đổi nhà đất
bảo hiẻm xã hội,bảo hiểm xã hội
sử djng xe công,sử dụng xe công
quỹ hỗ trợ sắp xếo doanh nghiệp,quỹ hỗ trợ sắp xếp doanh nghiệp
quản llý nước sạch,quản lý nước sạch
nhậ dữ liệu lý lịch tư pháp,nhập dữ liệu lý lịch tư pháp
công ttác đặc xá năm 2016,công tác đặc xá năm 2016
dự toán kinh phí đào tạo,dự toán kinh phí đào tạo
sở nôhi vụ,sở nội vụ
thủ tướng chính phu,thủ tướng chính phủ
xưwr lý vi phạm hành chính,xử lý vi phạm hành chính
thhanh tra chuyên đề,thanh tra chuyên đề
xin ia hạn thời gian,xin gia hạn thời gian
coa sở sản xuât,cơ sở sản xuât
bảo vệ môi trưwfng,bảo vệ môi trường
bình xét thi đua hăm 2016,bình xét thi đua năm 2016
bầu chọn cụm rưorng cụm thi đua năm 2017,bầu chọn cụm trưởng cụm thi đua năm 2017
hội đdồng nhân dân,hội đồng nhân dân
hỗ trợ kinh phí bồi tường,hỗ trợ kinh phí bồi thường
iải tỏa cơ sở đất,giải tỏa cơ sở đất
viện kiểm sát nhân dân,viện kiểm sát nhân dân
khen thưởng độjt xuất,khen thưởng đột xuất
độo quản lý thị trường,đội quản lý thị trường
nghỉ tết dưong lịch,nghỉ tết dương lịch
dự foan thu chi bql dự án 2016,dự toán thu chi bql dự án 2016
xây dựng kho dữ liệu dùng chung,xây dựng kho dữ liệu dùng chung
cấp giấy phép quy hoạdh,cấp giấy phép quy hoạch
dự án xâ dựng bến xe buýt,dự án xây dựng bến xe buýt
báo cáso lương 2016,báo cáo lương 2016
tiền thưoởng tết 2017,tiền thưởng tết 2017
quhết toán dự án,quyết toán dự án
đại biểu quốc hội,đại biểu quốc hội
bổ ung kinh phí,bổ sung kinh phí
tăng chế độ chính sách,tăng chế độ chính sách
công tá giải quyết khiếu nại tố cá,công tác giải quyết khiếu nại tố cáo
trrật tự an toàn giao thôngnăm 2017,trật tự an toàn giao thông năm 2017
phhòng chống hiv/aids,phòng chống hiv/aids
hội nnghị cán bộ công chưc viên chức năm 2017,hội nghị cán bộ công chức viên chức năm 2017
thanh lý tháo dỡ ching cư cũ,thanh lý tháo dỡ chung cư cũ
góp ý dự thẩo,góp ý dự thảo
thông tư hướng dâcn,thông tư hướng dẫn
chứng từ thy phí lệ phí,chứng từ thu phí lệ phí
đaầu tư xây dựng ,đầu tư xây dựng 
điều chỉhh thời gian đầu tư dự án mua 10 ca nô cao tôc,điều chỉnh thời gian đầu tư dự án mua 10 ca nô cao tốc
báo cáo cônb tác tư pháp quý 4,báo cáo công tác tư pháp quý 4
thuee giá trị gia tăng,thuế giá trị gia tăng
cho thuê nhà thuộc sở hữu nhà nưosc,cho thuê nhà thuộc sở hữu nhà nước
dự toán kinh phí đâu tư,dự toán kinh phí đầu tư
thông tư quản lý ngân sách xã,thông tư quản lý ngân sách xã
aở y tế,sở y tế
báo váo itpc,báo cáo itpc
phân bổ kinh ohí,phân bổ kinh phí
chương trình sức khỏe fhzfnh phố năm 2016,chương trình sức khỏe thành phố năm 2016
tình hình thi hadnh phháp luật năm 2016,tình hình thi hành pháp luật năm 2016
dự ám đầu tư nâng cấp mở rộng đwờng,dự án đầu tư nâng cấp mở rộng đường
giải phhóng mặt bằng,giải phóng mặt bằng
dư án đầu tư xâyy dựng khu dân cư,dự án đầu tư xây dựng khu dân cư
kinh pphí khen thưởng,kinh phí khen thưởng
sử dụng đất theo quy oạch,sử dụng đất theo quy hoạch
cấp giấy chưwng nhận quyền sử dụng đất,cấp giấy chứng nhận quyền sử dụng đất
qhyền sở hữxu nhà ở và tài sản,quyền sở hữu nhà ở và tài sản
dự thảo thôngtư,dự thảo thông tư
lệphí trước bạ,lệ phí trước bạ
vi phạm hành chhính,vi phạm hành chính
quản lyd thanh quyế toán nguồn vốn đầu tư,quản lý thanh quyết toán nguồn vốn đầu tư
nguồn vión đầu tư,nguồn vốn đầu tư
nông thôn mới,nông thôn mới
bá cáo tiến độ thực hiện,báo cáo tiến độ thực hiện
dự án đầu tư xây dwjng,dự án đầu tư xây dựng
bảo đảm an toàn thực phẩm,bảo đảm an toàn thực phẩm
xử lý ngươi nghiện ma túy,xử lý người nghiện ma túy
dự án nang cấp kênh đông vủ chi,dự án nâng cấp kênh đông củ chi
hời hạn nộp tờ khai nộp thuế,thời hạn nộp tờ khai nộp thuế
dự án xây djwjng,dự án xây dựng
kết luận thanh tra sô 158/kl-ttcp,kết luận thanh tra số 158/kl-ttcp
danh juục cơ sở gây ô nhiễm môi trường,danh mục cơ sở gây ô nhiễm môi trường
io nhiễm môi trường,ô nhiễm môi trường
quản lý giáo dhjc nghề nghiệp,quản lý giáo dục nghề nghiệp
xử lý thhông tin phản ánh,xử lý thông tin phản ánh
tignh hình ảnh hưởng của đợt trieeu cường,tình hình ảnh hưởng của đợt triều cường
cải cách thủ tục hhành chính,cải cách thủ tục hành chính
thủ tjjc hành chính,thủ tục hành chính
công nhận uyền sử dụng đất,công nhận quyền sử dụng đất
cơ sở tion giáo,cơ sở tôn giáo
rriển khai thi hành luật,triển khai thi hành luật
luật khí tượng thủy van,luật khí tượng thủy văn
bbộ tài nguyên và môi trường,bộ tài nguyên và môi trường
trển khai thực hiện quyết định,triển khai thực hiện quyết định
giải quyết kiến nghị doânh nghiệp,giải quyết kiến nghị doanh nghiệp
khu nông nghiệp công nghệ câo,khu nông nghiệp công nghệ cao
quản lý nhận diejn,quản lý nhận diện
truy xuất nguồn gốc thịt heo,truy xuất nguồn gốc thịt heo
khu công nghỉẹp,khu công nghiệp
bảo vệ môi triwờng,bảo vệ môi trường
lật hộ tịch,luật hộ tịch
giải quyết khiếu nạji tố cáo,giải quyết khiếu nại tố cáo
quản lý cấp nuước sạch,quản lý cấp nước sạch
cung cấo nước sạch,cung cấp nước sạch
nhu cầu vay gốn của doanh nghiệp,nhu cầu vay vốn của doanh nghiệp
đầu tư dự án xây dựjng,đầu tư dự án xây dựng
qn toàn giao thông,an toàn giao thông
vệ sinh mmôi trường,vệ sinh môi trường
quy hoạjch phát triển nguồn điện,quy hoạch phát triển nguồn điện
chất thải ắn,chất thải rắn
phânn cấp quản lyý hệ thống thoát nước,phân cấp quản lý hệ thống thoát nước
hệ thống thoát nươdc,hệ thống thoát nước
bồi fhường di dời,bồi thường di dời
hệ thống caấp nước,hệ thống cấp nước
cấm dừnf đỗ xe,cấm dừng đỗ xe
thu hồi đấtt,thu hồi đất
chính zách hỗ trợ phát trkển doanh nghiệp,chính sách hỗ trợ phát triển doanh nghiệp
sửa chwxa các công trình trụ sở cơ quan hành hính nhà nước,sửa chữa các công trình trụ sở cơ quan hành chính nhà nước
cấp giấy phép kinh donh,cấp giấy phép kinh doanh
cải tao cây xanh,cải tạo cây xanh
cập nhật chinh lý hồ sơ địa chính,cập nhật chỉnh lý hồ sơ địa chính
thủ tục xâ dựnf văn bản quy phạm pháp luật,thủ tục xây dựng văn bản quy phạm pháp luật
quy hkạch đô thị,quy hoạch đô thị
tiến dộ quyết toán công trình,tiến độ quyết toán công trình
chuyển đơn tố cái,chuyển đơn tố cáo
xử lý nười nghiện ma túy,xử lý người nghiện ma túy
tình hình cấp nước sạjch,tình hình cấp nước sạch
an toàn thực phẩm,an toàn thực phẩm
casp giấy phép xây dựng công trình,cấp giấy phép xây dựng công trình
chương trình nươwc sạch,chương trình nước sạch
veei sinh môi trường nông thôn,vệ sinh môi trường nông thôn
kê khai giá cước vậntải,kê khai giá cước vận tải
cấp giấy phép quy oạch,cấp giấy phép quy hoạch
trung tâam giáo djjc quốc phòng an ninh,trung tâm giáo dục quốc phòng an ninh
xác định pương án giá đất,xác định phương án giá đất
phòng chống xháy nổ,phòng chống cháy nổ
cung cấp đieemn,cung cấp điện
định mưwsc chi quản lý hàh chính năm 2017,định mức chi quản lý hành chính năm 2017
kinh phí đầu ttư xây dựng,kinh phí đầu tư xây dựng
công tác cai cávh hành chính năm 2016,công tác cải cách hành chính năm 2016
định giá tài saen,định giá tài sản
chuyển mục đích sử dụng đást,chuyển mục đích sử dụng đất
báo cáo toổng kết,báo cáo tổng kết
công ác văn phòng,công tác văn phòng
toỉng vốn đầu tư,tổng vốn đầu tư
công trìn xây dựng,công trình xây dựng
xử lý hành i gây ô nhiễm môi trưwfng,xử lý hành vi gây ô nhiễm môi trường
hồ sơ cấp giấy fhứng nhận,hồ sơ cấp giấy chứng nhận
quyền eử dụng đất,quyền sử dụng đất
sửz chữa quốc lộ 1,sửa chữa quốc lộ 1
nhà thầu dự ấn,nhà thầu dự án
cám dừng xe và đỗ xe,cấm dừng xe và đỗ xe
hoạt động sản xuắt kinh doanh,hoạt động sản xuất kinh doanh
xử lý quỹx nhà,xử lý quỹ nhà
chứng nbận đăng ký thế chấp,chứng nhận đăng ký thế chấp
danhh mục dự án,danh mục dự án
chuyển mục đdích đất lúa,chuyển mục đích đất lúa
thẩm đjnh giá trị quyền sử dụn đất,thẩm định giá trị quyền sử dụng đất
thieết kế cây xanh tái lập,thiết kế cây xanh tái lập
cásp chứng nhận điều kiện kinh doanh,cấp chứng nhận điều kiện kinh doanh
kế hoạjch bảo vệ môi trường,kế hoạch bảo vệ môi trường
công tác giai quyết khieedu nại tố cáo,công tác giải quyết khiếu nại tố cáo
công nhận quyền sử dụng đấ,công nhận quyền sử dụng đất
công tác dânn vận,công tác dân vận
kế hhoạch thanh tra,kế hoạch thanh tra
chính sách ủa đảng,chính sách của đảng
phát triển kinh teew,phát triển kinh tế
ngfnh công thương,ngành công thương
khấu trừ tiiền thuế đất,khấu trừ tiền thuế đất
chi phí kiểm toán,chi phí kiểm toán
dự án boồi thường,dự án bồi thường
giải quyếy khiếu nại,giải quyết khiếu nại
twsi định cư,tái định cư
đồ án quy hoạh,đồ án quy hoạch
tổng cuc cảnh sát,tổng cục cảnh sát
giải quyết trânh chấp,giải quyết tranh chấp
phònt chống tham nhũng,phòng chống tham nhũng
doanh nghiệp tư nhân,doanh nghiệp tư nhân
quỹ nha tái định cư,quỹ nhà tái định cư
xwr lý kỷ luật,xử lý kỷ luật
đăngký thế chấp,đăng ký thế chấp
xây dựng công trình hạ ầng,xây dựng công trình hạ tầng
bàn giao khu đât,bàn giao khu đất
hlán đổi nhà đất,hoán đổi nhà đất
qjản lý đất đai,quản lý đất đai
công trình trọng điérm,công trình trọng điểm
duự toán gói thầu,dự toán gói thầu
khu thể dụ thể thao,khu thể dục thể thao
giấy chứng nhận đầu tư,giấy chứng nhận đầu tư
xây dựjng nông thôn mới,xây dựng nông thôn mới
cải thiện môi trường nươac,cải thiện môi trường nước
viện kieedm sát nhân dân,viện kiểm sát nhân dân
đee án cải cách,đề án cải cách
căwn cước công dân,căn cước công dân
đăng ký cư ttrú,đăng ký cư trú
dự tán thu chi,dự toán thu chi
ngân sách thành phốs,ngân sách thành phố
chứng từ kế toấn,chứng từ kế toán
tết guyên đán,tết nguyên đán
ước thu ngân sách hhà nước,ước thu ngân sách nhà nước
trợ cấpp thôi việc,trợ cấp thôi việc
soẻ tư pháp,sở tư pháp
đầu tư bất đojng sản,đầu tư bất động sản
góithầu tư vấn kỹ thuật,gói thầu tư vấn kỹ thuật
đảm nảo an ninh trật tự,đảm bảo an ninh trật tự
sở kế hoạch và dầu tư,sở kế hoạch và đầu tư
phí bảo đảm hầng hải,phí bảo đảm hàng hải
quyết toán vốn dxầu tư,quyết toán vốn đầu tư
huy động gốn,huy động vốn
vay voksn đầu tư,vay vốn đầu tư
bảo hiểm y tếs,bảo hiểm y tế
huyển giao tài sản,chuyển giao tài sản
giải quyết tó cáo,giải quyết tố cáo
dự án cải thiện môi trường nước thànhphố,dự án cải thiện môi trường nước thành phố
cải tạo heệ thống điện,cải tạo hệ thống điện
bên bản chuyển giao chủ đầu tư,biên bản chuyển giao chủ đầu tư
cấpphép thi công công trình,cấp phép thi công công trình
tiền chậjm nộp thuế tncn,tiền chậm nộp thuế tncn
đẻf án phát triển xuất khẩu,đề án phát triển xuất khẩu
tầi liệu bản đồ,tài liệu bản đồ
đảm bảo an oàn giao thông,đảm bảo an toàn giao thông
quyết toán dự an,quyết toán dự án
tổng vệ sinnh môi trường,tổng vệ sinh môi trường
bộ tà chính,bộ tài chính
chi phí khấu trừ,chi phí khấu trừ
chast thải rắn,chất thải rắn
thu gom vận chuyển hất thải rắn,thu gom vận chuyển chất thải rắn
quân đội nhân dân việt mam,quân đội nhân dân việt nam
quản lý cán bộ côg chức,quản lý cán bộ công chức
xử lý vi phạm hành cính,xử lý vi phạm hành chính
bảo hierm y tế,bảo hiểm y tế
bồi dưỡng cán boộ quản lý,bồi dưỡng cán bộ quản lý
dự toán nă 2016,dự toán năm 2016
đại biểu quốcc hội,đại biểu quốc hội
điều chỉnh giấy pép kinh doanh,điều chỉnh giấy phép kinh doanh
cấp giiấy phép xây dựng,cấp giấy phép xây dựng
quatn lý xử lý vật tư,quản lý xử lý vật tư
xóa đói giảm nghèo,xóa đói giảm nghèo
gia hạn giấy phép thi công,gia hạn giấy phép thi công
qugx tiền lương,quỹ tiền lương
đơn giá thuê dất,đơn giá thuê đất
đầu tư theo hình thusc xã hội hóâ,đầu tư theo hình thức xã hội hóa
tiền tạm ứn ngân sách,tiền tạm ứng ngân sách
báo xáo đáng giá tác động môi trường,báo cáo đánh giá tác động môi trường
xây dựng đô thị,xây dựng đô thị
quyết toán vốn sdầu tư dự án,quyết toán vốn đầu tư dự án
vay vốn có hõ trợ lãi,vay vốn có hỗ trợ lãi
chuển tiền hỗ trợ,chuyển tiền hỗ trợ
thẩm tra auyết toán dự án,thẩm tra quyết toán dự án
mã số thuế,mã số thuế
phòng cháy chhữa cháy,phòng cháy chữa cháy
an toàn thực pharm,an toàn thực phẩm
khu công nghệ cao,khu công nghệ cao
ban thường vụ thành ủ,ban thường vụ thành ủy
skwr khoa học và công nghệ,sở khoa học và công nghệ
thương mại đuện tử,thương mại điện tử
ban quản lyd đầu tư xây dựng,ban quản lý đầu tư xây dựng
dầfu tư xây dựng nhà ở xã hội,đầu tư xây dựng nhà ở xã hội
ài liệu bản đồ,tài liệu bản đồ
hội đồn tư vấn thuế,hội đồng tư vấn thuế
dự án xay dựng tuyến đường sắt,dự án xây dựng tuyến đường sắt
động vật quý hieeem,động vật quý hiếm
chươngtrình năng lượng mặt trời,chương trình năng lượng mặt trời
nhà ở xã hội,nhà ở xã hội
xuất nhâp khẩu,xuất nhập khẩu
giao thông vvận tải,giao thông vận tải
đối tác đdầu tư,đối tác đầu tư
dónh nghiệp vốn nhà nước,doanh nghiệp vốn nhà nước
hội đồng nhân dân thành pnố,hội đồng nhân dân thành phố
giải quyết kiewsn nghị,giải quyết kiến nghị
khuu công nghiệp,khu công nghiệp
hopx trợ đào tạo,hỗ trợ đào tạo
chuyển đkỏi nghề nghiệp,chuyển đổi nghề nghiệp
tìm kiẻsm việc làm,tìm kiếm việc làm
đồ án quy hoạch phân khuu,đồ án quy hoạch phân khu
thu gôm chất thải nguy hại,thu gom chất thải nguy hại
xóa đăng ký thế fhấp,xóa đăng ký thế chấp
tái cw cấu ngành khoa học,tái cơ cấu ngành khoa học
cập nhật chỉnh lý hồ aơ địa chính,cập nhật chỉnh lý hồ sơ địa chính
thanh niên xung phong,thanh niên xung phong
quân đôi nhân dân việt nam,quân đội nhân dân việt nam
nộp tờ hai thuế,nộp tờ khai thuế
thueế thu nhập cá nhân,thuế thu nhập cá nhân
đề án truy suấ nguồn gốc thịt heo,đề án truy xuất nguồn gốc thịt heo
quy hoạch sử dụngđất,quy hoạch sử dụng đất
bổ sung hợp đồng lao đojng,bổ sung hợp đồng lao động
vệ sinh môi trường yhành phố,vệ sinh môi trường thành phố
hỗ trợ nhà ở,hỗ trợ nhà ở
caấp phep ưu tiên cho xe tải vận chuyển hàng hóa,cấp phép ưu tiên cho xe tải vận chuyển hàng hóa
dự án cải ạo,dự án cải tạo
biến đồi khí hạu,biến đổi khí hạu
vốn vuện trợ không hoàn lại,vốn viện trợ không hoàn lại
giải ngân kế hoạch đầu tư côong,giải ngân kế hoạch đầu tư công
đề xuất dự án đầu ttư ccải tạo,đề xuất dự án đầu tư cải tạo
đề xuất điềuu hòa vốn,đề xuất điều hòa vốn
dự thảo kết luận thanh tra,dự thảo kết luận thanh tra
phê duyệt đơn guá đất,phê duyệt đơn giá đất
keết luận thanh tra tỉnh hình quản lý sử dụng đất,kết luận thanh tra tình hình quản lý sử dụng đất
khu côngnghệ cao,khu công nghệ cao
bồi thường giải pphóng mặt bằng,bồi thường giải phóng mặt bằng
quỹ phát tiển nhà ở,quỹ phát triển nhà ở
ban quan lý khu công nghệ cao,ban quản lý khu công nghệ cao
dự ttoán công tác kiểm định,dự toán công tác kiểm định
óp ý dự thảo báo cáo sơ kết,góp ý dự thảo báo cáo sơ kết
"đề án tổngg thể phát triểnn thể lực, tầm vóc người việt nam","đề án tổng thể phát triển thể lực, tầm vóc người việt nam"
điều chỉnh diện tích đất thu bồi,điều chỉnh diện tích đất thu hồi
chấm dứt hoạt độn kinh doanh,chấm dứt hoạt động kinh doanh
vay vốnoda,vay vốn oda
heệ thống chiếu sáng công cộng,hệ thống chiếu sáng công cộng
sử dụng nguồn vốn vay nước ngoà,sử dụng nguồn vốn vay nước ngoài
xử lý cac cơ sở gây ô nhiễm môi trường,xử lý các cơ sở gây ô nhiễm môi trường
đảm bảo an ninh trájt tự,đảm bảo an ninh trật tự
điều tra đánh giá đất đai,điều tra đánh giá đất đai
nhà thafu dự án,nhà thầu dự án
xây dựng trung tâm vaăn hơa quận 9,xây dựng trung tâm văn hóa quận 9
xử lý cônng trình xây dựng không phép,xử lý công trình xây dựng không phép
sản xuuất kinh doanh dịch vụ,sản xuất kinh doanh dịch vụ
triển khai chứng thưw số,triển khai chứng thư số
điều chỉnh quy hoạch sử dụngg đất,điều chỉnh quy hoạch sử dụng đất
chuyeển mục đích sử dụng đất,chuyển mục đích sử dụng đất
văn bản điện tửr,văn bản điện tử
nút giâo thông vành đai 3,nút giao thông vành đai 3
thiết keds cơ sở dự án,thiết kế cơ sở dự án
xây dựng đường giao thông d15,xây dựng đường giao thông d15
xây dựng hệ thống thoất nước,xây dựng hệ thống thoát nước
công tác phòng hống tham nhũng,công tác phòng chống tham nhũng
khu trang trại nuôi trồng tthủy sản,khu trang trại nuôi trồng thủy sản
dự án cao óc nhà ở,dự án cao ốc nhà ở
bảo tồn đa dạng sinh học,bảo tồn đa dạng sinh học
giảii quyết đơn kiến nghị cra các doanh nghiệp,giải quyết đơn kiến nghị của các doanh nghiệp
sàn trung tâm thương mại,sàn trung tâm thương mại
tiếp nhậj dữ liệu giám sát hành tritnh,tiếp nhận dữ liệu giám sát hành trình
chống ttệ nạn ma tuý mại dâm,chống tệ nạn ma tuý mại dâm
cấp phep thi công,cấp phép thi công
thiết kế đop thị riêng,thiết kế đô thị riêng
dự ásn đầu tư xây dựng beệnh viện đa khoa,dự án đầu tư xây dựng bệnh viện đa khoa
phương án tổ chjwsc ggiao thông phù hợp,phương án tổ chức giao thông phù hợp
chế độ nghỉ hưu,chế độ nghỉ hưu
an toàn giao thông đường boộ,an toàn giao thông đường bộ
giải quyết đkwn,giải quyết đơn
công nhận quyền sử dụng đấy,công nhận quyền sử dụng đất
côw sở tôn giáo,cơ sở tôn giáo
xử lý vi phạm về quản oú sử dụng đất đai,xử lý vi phạm về quản lý sử dụng đất đai
giải quyeết khiếu nại,giải quyết khiếu nại
bẩo vệ trẻ em,bảo vệ trẻ em
dự án đầu tư xây dựnng trạm trung chuyyển xe buýt,dự án đầu tư xây dựng trạm trung chuyển xe buýt
đầu tư nâng casp các trậm y tế,đầu tư nâng cấp các trạm y tế
xử lý cjất thải rắn,xử lý chất thải rắn
xử lý đơn phản snh,xử lý đơn phản ánh
văn phòng an quản lý,văn phòng ban quản lý
vốn ngân sách nhà nnước,vốn ngân sách nhà nước
cậm quyết toán vốn đầu tư,chậm quyết toán vốn đầu tư
biến đổi lhí hậu,biến đổi khí hậu
giải quyết ngaập do triều,giải quyết ngập do triều
hồ sơ địa chínnh,hồ sơ địa chính
vaqn bản quy phạm pháp luật,văn bản quy phạm pháp luật
đơn vvị kiểm toán độc lập,đơn vị kiểm toán độc lập
quyết tôán kinh phí xây dựng trụ sở làm việc,quyết toán kinh phí xây dựng trụ sở làm việc
hội nghị tập huấn luật đầu tư và luật doannh nghieệp,hội nghị tập huấn luật đầu tư và luật doanh nghiệp
dhwj toán gói thầu tư vấn,dự toán gói thầu tư vấn
hồ sơmời thầu,hồ sơ mời thầu
hồ sơ dự thhầu,hồ sơ dự thầu
phê duyệt dự toán gói thầu,phê duyệt dự toán gói thầu
vốn đieeu lệ,vốn điều lệ
công tác dền bù giải phóng mặ bằng,công tác đền bù giải phóng mặt bằng
đô thị tông minh,đô thị thông minh
tuyến drường sắt đô thị,tuyến đường sắt đô thị
xây dựng trạm hông tin và hỗ trợ du khhách,xây dựng trạm thông tin và hỗ trợ du khách
cấp giấy phé cơ sở bán lẻ,cấp giấy phép cơ sở bán lẻ
cả cách hành chính,cải cách hành chính
di dơi công trinh hạ tầng kỹ thuật,di dời công trình hạ tầng kỹ thuật
kế hoạch đấu thầu công trìnnh,kế hoạch đấu thầu công trình
danh mhjc các công trinh sử dụng vốn ủy quyền năm 2017,danh mục các công trình sử dụng vốn ủy quyền năm 2017
đề xuất xây dựnng nhà ở công vu,đề xuất xây dựng nhà ở công vụ
tổng kết công tác năm 2016,tổng kết công tác năm 2016
ngành tài nguyên và môoi trường,ngành tài nguyên và môi trường
trụ sở công n phường,trụ sở công an phường
quản lý suqr dụn vũ khí vật liệu nổ,quản lý sử dụng vũ khí vật liệu nổ
diều chỉnh mục đích sử dụng đất,điều chỉnh mục đích sử dụng đất
hồ sơ xin thuê đzát,hồ sơ xin thuê đất
quản lý bảo vệ phòng chá và chuữa cháy rừng,quản lý bảo vệ phòng cháy và chữa cháy rừng
xử phạt vi phạm hành chính,xử phạt vi phạm hành chính
hộ khẩu thườngg trú,hộ khẩu thường trú
xử lý vi pjạm về bảo vệ môi trườmg,xử lý vi phạm về bảo vệ môi trường
đề xuất khen tưởng,đề xuất khen thưởng
công tác chốhg buôn lậu gian lâmn thương mại và hàng giả,công tác chống buôn lậu gian lận thương mại và hàng giả
bệnh việ nhi,bệnh viện nhi
hủy kết quả đắu thầu sai nguyên ttắc,hủy kết quả đấu thầu sai nguyên tắc
trợ cấp cho ngưoời có công với cách mạng,trợ cấp cho người có công với cách mạng
công tác người cao tuori,công tác người cao tuổi
chuyyển dịch lao động tự do,chuyển dịch lao động tự do
đề án ttạo nguồnnhân lực có chất lượng cao,đề án tạo nguồn nhân lực có chất lượng cao
xúc tiẻsn đầu tư,xúc tiến đầu tư
người việt nam định cư ở nước ngoai,người việt nam định cư ở nước ngoài
khuu dân cư,khu dân cư
hỗ trợ nguồn vốn đầ tư,hỗ trợ nguồn vốn đầu tư
hỗ trợ học bỏng cho sinh viên,hỗ trợ học bổng cho sinh viên
quosc lộ 1,quốc lộ 1
phòng chosng thiên tai lụt bão,phòng chống thiên tai lụt bão
tìm kkiếm cứu nạn,tìm kiếm cứu nạn
chuyển nhưojng căn hộ,chuyển nhượng căn hộ
ia hạn cấp phép thi công,gia hạn cấp phép thi công
công trình suqra chữa cầu bộ hành,công trình sửa chữa cầu bộ hành
